"COD_IDT_COTC";"COD_COTC";"ANO_COTC";"COD_ORG_EMP";"TXT_ORG_EMP";"COD_UNID_ORCM_SOF";"TXT_UNID_ORCM";"COD_TIP_COTC";"TXT_TIP_COTC";"COD_FNDT_LEGA_DESP";"TXT_RESU_FNDT_LEGA";"COD_MODL_LICI_SOF";"TXT_MODL_LICI";"DT_INIC_VIG";"DT_FIM_VIG";"DT_FIM_VIG_ATU";"VAL_EPH_INFM_PRIN";"VAL_EPH_INFM_REAJ";"QTD_DIA_PRZO_ATUL";"VAL_TOT_MNTT_PRIN";"VAL_TOT_MNTT_REAJ";"VAL_TOT_EPH_PRIN";"VAL_TOT_EPH_REAJ";"COD_SITU_COTC_ATU";"COD_COND_PGTO";"TXT_COND_PGTO";"ANO_ATA_REG_PCO";"COD_ATA_REG_PCO";"RP_COD_ORG_EMP";"RP_TXT_ORG_EMP";"RP_COD_EMP_ORG_EXTR";"RP_TXT_EMP_ORG_EXTR";"COD_IND_REAJ_SOF";"TXT_IND_REAJ_SOF";"COD_ORGN_COTC";"NOM_PPST_COTT";"DT_ENVI_PPTA_COTC";"DT_ASSI_DPCH";"DT_PUBL_DPCH";"COD_NRO_PAG_DPCH";"DT_ASSI_COTC";"DT_PUBL_COTC";"COD_NRO_PAG_COTC";"COD_NRO_EDIT_COTC";"COD_NRO_PCSS_SOF";"COD_TIP_DOC";"COD_GSTR_COTC";"NOM_GSTR_COTC";"TXT_DOC_DESG_GSTR";"TXT_OBJE_COTC";"TXT_REAJ_OTRO";"COD_ORG_EMP_ATUAL";"TXT_ORG_EMP_ATUAL";"COD_UNID_ORCM_SOF_ATUAL";"TXT_UNID_ORCM_ATUAL";"VAL_PRIN_ACRE";"VAL_REAJ_ACRE";"QTD_DIA_PRZO_COTR";"VL_TOTAL_ADITAMENTO";"VL_TOTAL_REAJUSTES";"VL_TOTAL_ATUALIZADO";"VL_ATUAL_CONTR_GERAL";"VL_EMPENHADOS_ANTES_GERAL";"VL_EMPENHADOS_APOS_GERAL";"VL_ANULACOES_GERAL";"VL_SALDO_EMPENHAR_GERAL";"VL_SALDO_LIQUIDAR_GERAL";"VL_SALDO_PAGAR_GERAL";"VL_PAGOS_GERAL";"VL_EMPENHOS_CANCELADOS_GERAL";"VL_ATUAL_CONTR_PRINC";"VL_EMPENHADOS_ANTES_PRINC";"VL_EMPENHADOS_APOS_PRINC";"VL_ANULACOES_PRINC";"VL_SALDO_EMPENHAR_PRINC";"VL_SALDO_LIQUIDAR_PRINC";"VL_SALDO_PAGAR_PRINC";"VL_PAGOS_PRINC";"VL_EMPENHOS_CANCELADOS_PRINC";"VL_ATUAL_CONTR_REAJ";"VL_EMPENHADOS_ANTES_REAJ";"VL_EMPENHADOS_APOS_REAJ";"VL_ANULACOES_REAJ";"VL_SALDO_EMPENHAR_REAJ";"VL_SALDO_LIQUIDAR_REAJ";"VL_SALDO_PAGAR_REAJ";"VL_PAGOS_REAJ";"VL_EMPENHOS_CANCELADOS_REAJ";"PERC_ADIT_ACRESC_PATAMAR";"PERC_ADIT_SUPR_PATAMAR";"PERC_ADIT_ACRESC_OBJETO";"PERC_ADIT_SUPR_OBJETO";"QT_PRAZO_ATUAL_ACRESCIMO_OBJ";"QT_PRAZO_ATUAL_SUPRESSAO_OBJ";"QT_PRAZO_ATUAL_ACRESCIMO_PAT";"QT_PRAZO_ATUAL_SUPRESSAO_PAT";"QT_PRAZO_ATUAL_ACRESCIMO_PRO";"QT_PRAZO_ATUAL_SUPRESSAO_PRO";"DOTACAO";"COD_SUB_ELEM_DESP";"DESC_SUB_ELEMENTO";"COD_ITEM_DESP_SOF";"DESC_ITEM_DESP";"COD_ELEM_DESP";"DESC_ELEMENTO";"VL_SALDO_EMPENHAR_TOTAL"
"466332";"28976";"2022";"98";"Fundo de Desenvolvimento Urbano";"22";"FUNDURB - Secretaria Municipal de Infraestrutura Urbana e Obras";"2";"Termo de Contrato - Serviços";"10";"Art. 24 Inciso IV da lei Federal 8.666/93";"6";"Dispensa de Licitação";"05/07/2022 00:00:00";"01/01/2023 00:00:00";"01/01/2023 00:00:00";"0";"0";"180";"0";"0";"0";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"";"";"13/07/2022 00:00:00";"14/07/2022 00:00:00";"33";"";"";"";"EMERGÊNCIA";"6022202200033226";"S";"";"";"";"intervenção, em caráter emergencial, para realização de obras para recuperação estrutural do Viaduto Diário Popular (fundos do estacionamento do Museu Catavento) - Subprefeitura Sé";"";"98";"Fundo de Desenvolvimento Urbano";"22";"FUNDURB - Secretaria Municipal de Infraestrutura Urbana e Obras";"27000196,76";"0";"180";"0";"0";"27000196,76";"27000196,76";"0";"0";"27000196,76";"0";"0";"0";"0";"27000196,76";"27000196,76";"0";"0";"27000196,76";"0";"0";"0";"0";"27000196,76";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"98.22.15.451.3009.5.187.44905100.08.0";"89";"Obras em Andamento - Uso Comum do Povo";"08";"Obras em Áreas de Risco";"51";"Obras e Instalações";"0"
"469690";"31993";"2022";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"10";"Art. 24 Inciso IV da lei Federal 8.666/93";"6";"Dispensa de Licitação";"05/07/2022 00:00:00";"01/01/2023 00:00:00";"01/01/2023 00:00:00";"0";"0";"180";"27000196,35";"0";"27000196,35";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"229/SIURB/2022";"Sueli Aparecida Frasson";"01/01/2022 00:00:00";"13/07/2022 00:00:00";"14/07/2022 00:00:00";"33";"25/10/2022 00:00:00";"01/11/2022 00:00:00";"97";"emergência";"6022202200033226";"S";"d7530226";"João Luis Maranhão Biscaia";"066551490";": intervenção, em caráter emergencial, para realização de obras para recuperação estrutural do ViadutoDiário Popular (fundos do estacionamento do Museu Catavento) - Subprefeitura Sé";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"27000196,76";"0";"180";"0";"0";"27000196,76";"27000196,76";"0";"27000196,35";"0,41";"0";"0";"27000196,35";"27000196,35";"0,41";"27000196,76";"0";"27000196,35";"0,41";"0";"0";"27000196,35";"27000196,35";"0,41";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.15.451.3009.5.187.44905100.00.0";"89";"Obras em Andamento - Uso Comum do Povo";"08";"Obras em Áreas de Risco";"51";"Obras e Instalações";"0"
"471633";"33791";"2022";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"10";"Art. 24 Inciso IV da lei Federal 8.666/93";"6";"Dispensa de Licitação";"05/07/2022 00:00:00";"01/01/2023 00:00:00";"01/01/2023 00:00:00";"0";"0";"180";"26497862";"0";"26497862";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"267/SIURB/2022";"Walter Rodrigues de Lacerda";"01/01/2022 00:00:00";"13/07/2022 00:00:00";"14/07/2022 00:00:00";"33";"08/12/2022 00:00:00";"20/12/2022 00:00:00";"182";"emergência";"6022202200033218";"S";"D3009556";"RICARDO FRANCISCO PEREIRA CIMINO";"066574842";"intervenção, em caráter emergencial, para realização de obras de contenção em margem de córrego e serviços complementares na Rua Quaresma Delgado - Jardim Vera Cruz - Subprefeitura São Mateus,";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"26622329,56";"0";"180";"0";"0";"26622329,56";"26622329,56";"0";"26497862";"124467,56";"0";"0";"26497862";"26497862";"124467,56";"26622329,56";"0";"26497862";"124467,56";"0";"0";"26497862";"26497862";"124467,56";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.17.451.3008.5.013.44905100.00.0";"89";"Obras em Andamento - Uso Comum do Povo";"08";"Obras em Áreas de Risco";"51";"Obras e Instalações";"0"
"471422";"33597";"2022";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"6";"Lei Federal 10.520/02";"12";"Pregão";"02/01/2023 00:00:00";"02/01/2024 00:00:00";"01/01/2027 00:00:00";"0";"0";"365";"79519,68";"4665,72";"79464,46";"4658,83";"A";"84";"te do gestor";"-1";"-1";"";"";"";"";"33";"IPC/FIPE";"262/SIURB/22";"Elder Tartarotti";"26/10/2022 00:00:00";"08/11/2022 00:00:00";"10/11/2022 00:00:00";"123";"13/12/2022 00:00:00";"20/12/2022 00:00:00";"183";"015/22/2022";"6022202200024847";"S";"646.792-0";"Cleide Anésia Leopoldino";"Conforme SEI 076389876.";"Contratação de empresa especializada para prestação/realização de serviços em manutenção preventiva e corretiva, com fornecimento e substituição de peças, sem ônus ou custo adicional a administração pública, nas bombas d'água e quadros elétricos das bombas na sede da secretaria municipal de infraestrutura urbana e obras - SIURB, conforme especificações estabelecidas nas descrições e condições constantes do termo de referência anexo II.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"19879,92";"0";"365";"59639,76";"4665,72";"84185,40";"84185,40";"0";"84123,29";"0";"62,11";"13066,27";"71057,02";"69190,41";"1711,88";"79519,68";"0";"79464,46";"0";"55,22";"11596,62";"67867,84";"66211,18";"1711,88";"4665,72";"0";"4658,83";"0";"6,89";"1469,65";"3189,18";"2979,23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1095";"0";"22.10.15.122.3024.2.100.33903900.00.0";"17";"Manut. e Conserv. de Máquinas e Equipamentos";"99";"Outras Máquinas e Equipamentos";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"62,11"
"471750";"33891";"2022";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"10";"Art. 24 Inciso IV da lei Federal 8.666/93";"6";"Dispensa de Licitação";"05/08/2022 00:00:00";"01/02/2023 00:00:00";"01/02/2023 00:00:00";"0";"0";"180";"8938600,56";"0";"8938600,56";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"274/SIURB/2022";"WALTEIR RODRIGUES DE LACERDA";"05/08/2022 00:00:00";"25/08/2022 00:00:00";"27/08/2022 00:00:00";"33";"01/12/2022 00:00:00";"28/12/2022 00:00:00";"67";"emergência";"6022202200040125";"S";"6029981";"Maria de Fátima Soares de Macedo";"Conforme SEI nº 069055272";"Intervenção, em caráter emergencial, para realização de obras para contenção das margens do córrego localizado na Rua Benturelli, altura do nº 114 - Subprefeitura Vila Maria/Vila Guilherme";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"8938600,56";"0";"180";"0";"0";"8938600,56";"8938600,56";"0";"8938600,56";"0";"0";"0";"8938600,56";"8938600,56";"400000";"8938600,56";"0";"8938600,56";"0";"0";"0";"8938600,56";"8938600,56";"400000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.17.451.3008.5.013.44905100.00.0";"89";"Obras em Andamento - Uso Comum do Povo";"08";"Obras em Áreas de Risco";"51";"Obras e Instalações";"0"
"475937";"37780";"2022";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"10";"Art. 24 Inciso IV da lei Federal 8.666/93";"6";"Dispensa de Licitação";"05/08/2022 00:00:00";"01/02/2023 00:00:00";"01/02/2023 00:00:00";"0";"0";"180";"1250334,38";"0";"1250334,38";"0";"A";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"312/SIURB/22";"DONIZETE OLIVEIRA SANTOS";"26/08/2022 00:00:00";"26/08/2022 00:00:00";"30/08/2022 00:00:00";"67";"27/12/2022 00:00:00";"11/01/2023 00:00:00";"83";"Emergência";"6022202200040141";"S";"618.752-8";"OSMAR DIAS DOS SANTOS";"FISCAL";"Intervenção em caráter emergencial para realização de obras para recuperação de trecho da galeria de águas pluviais na Rua Cássio Martins Vilaça - Pacaembu - Subprefeitura Sé.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"1250334,38";"0";"180";"0";"0";"1250334,38";"1250334,38";"0";"1250334,38";"0";"0";"0";"1250334,38";"1250334,38";"8105,08";"1250334,38";"0";"1250334,38";"0";"0";"0";"1250334,38";"1250334,38";"8105,08";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.17.451.3008.5.013.44905100.00.0";"89";"Obras em Andamento - Uso Comum do Povo";"08";"Obras em Áreas de Risco";"51";"Obras e Instalações";"0"
"467597";"30102";"2022";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"10";"Art. 24 Inciso IV da lei Federal 8.666/93";"6";"Dispensa de Licitação";"05/08/2022 00:00:00";"01/02/2023 00:00:00";"01/02/2023 00:00:00";"0";"0";"180";"11078262,52";"0";"11078262,52";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"238/SIURB/2022.";"Alexandre dos Santos Russo";"01/01/2022 00:00:00";"25/08/2022 00:00:00";"26/08/2022 00:00:00";"31";"27/10/2022 00:00:00";"11/11/2022 00:00:00";"125";"Emergencia";"6022202200040117";"S";"3009556";"Ricardo Francisco Pereira Cimino";"069141554";"intervenção, em caráter emergencial, para realização de obras para contenção das margens do córrego localizado na Rua Ananatuba, nº 60 - Vila Medeiros - Subprefeitura Vila Maria/Vila Guilherme";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"11083637,57";"0";"180";"0";"0";"11083637,57";"11083637,57";"0";"11078262,52";"5375,05";"0";"0";"11078262,52";"11078262,52";"2528115,05";"11083637,57";"0";"11078262,52";"5375,05";"0";"0";"11078262,52";"11078262,52";"2528115,05";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.17.451.3008.5.013.44905100.00.0";"89";"Obras em Andamento - Uso Comum do Povo";"08";"Obras em Áreas de Risco";"51";"Obras e Instalações";"0"
"471699";"33847";"2022";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"10";"Art. 24 Inciso IV da lei Federal 8.666/93";"6";"Dispensa de Licitação";"05/08/2022 00:00:00";"01/02/2023 00:00:00";"01/02/2023 00:00:00";"0";"0";"180";"18495592,58";"0";"18495592,58";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"268/SIURB/2022";"RODRIGO CORDARO";"01/01/2022 00:00:00";"26/08/2022 00:00:00";"30/08/2022 00:00:00";"31";"01/12/2022 00:00:00";"14/12/2022 00:00:00";"112";"emergência";"6022202200040133";"S";"D7530226";"JOÃO LUIS MARANHÃO BISCAIA";"068682966";"Intervenção, em caráter emergencial, para realização de obras para recuperação estrutural do Viaduto Rosita Macedo de Andrade (Viaduto da China), continuidade da Av. Estrela da Noite - Subprefeitura São Miguel Paulista.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"18495665,26";"0";"180";"0";"0";"18495665,26";"18495665,26";"0";"18495592,58";"72,68";"0";"0";"18495592,58";"18495592,58";"1638147,86";"18495665,26";"0";"18495592,58";"72,68";"0";"0";"18495592,58";"18495592,58";"1638147,86";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.15.451.3009.5.187.44905100.00.0";"89";"Obras em Andamento - Uso Comum do Povo";"08";"Obras em Áreas de Risco";"51";"Obras e Instalações";"0"
"475492";"37357";"2022";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"12";"Art. 24 Inciso VI da lei Federal 8.666/93";"6";"Dispensa de Licitação";"01/02/2023 00:00:00";"01/02/2024 00:00:00";"01/02/2024 00:00:00";"0";"0";"365";"5598425,84";"0";"5598425,84";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"300/SIURB/2022";"ALEXANDRE DOS SANTOS RUSSO";"22/12/2022 00:00:00";"22/12/2022 00:00:00";"23/12/2022 00:00:00";"180";"29/12/2022 00:00:00";"03/01/2023 00:00:00";"70";"010/22/SIURB";"6022202200041105";"S";"817.652-3";"Valéria Rodrigues Cassemiro";"FISCAL";"EXECUÇÃO DE OBRAS COMPLEMENTARES DO PROJETO DE CONTROLE DE INUNDAÇÕES DA BACIA HIDROGRÁFICA DO CÓRREGO PACIÊNCIA.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"5605921,87";"0";"365";"0";"0";"5605921,87";"5605921,87";"0";"5598425,84";"7496,03";"0";"0";"5598425,84";"5598425,84";"17500,93";"5605921,87";"0";"5598425,84";"7496,03";"0";"0";"5598425,84";"5598425,84";"17500,93";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.17.451.3008.5.013.44905100.00.0";"89";"Obras em Andamento - Uso Comum do Povo";"22";"Canalização de Córregos";"51";"Obras e Instalações";"0"
"456056";"19721";"2022";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"10";"Art. 24 Inciso IV da lei Federal 8.666/93";"6";"Dispensa de Licitação";"03/10/2022 00:00:00";"01/04/2023 00:00:00";"01/04/2023 00:00:00";"0";"0";"180";"27775,85";"0";"27775,85";"0";"A";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"146/SIURB/2022";"Walter Makhohl";"29/07/2022 00:00:00";"27/07/2022 00:00:00";"29/07/2022 00:00:00";"32";"29/07/2022 00:00:00";"23/09/2022 00:00:00";"67";"Disp. de Licitação";"6022202200027358";"S";"80441633";"Ana Carolina Alves Sobral";"Conforme SEI nº 071297533";"Serviços técnico-profissionais para desenvolvimento de estudo preliminar de nova tipologia para construção de CEI Padrão em estrutura pré-moldada, incluindo imagens fotorealísticas inseridas no contexto urbano";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"27775,85";"0";"180";"0";"0";"27775,85";"27775,85";"0";"27775,85";"0";"0";"0";"27775,85";"27775,85";"0";"27775,85";"0";"27775,85";"0";"0";"0";"27775,85";"27775,85";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16.10.12.365.3025.3.359.44905100.00.0";"80";"Estudos e Projetos";"99";"Outros Estudos e Projetos";"51";"Obras e Instalações";"0"
