"DT_EFET_RESV";"COD_RESV_DOTA_SOF";"ANO_RESV";"DOTACAO_FORMATADA";"COD_NRO_PCSS_SOF";"HIST_RESV";"VL_RESV";"VL_TRANSF_RESV";"VL_CANC_RESV";"VL_EPH";"VL_SALDO_RESV";"COD_ORG_EMP";"COD_UNID_ORCM_SOF";"ORGDESC";"TXT_UNID_ORCM";"COD_ORG_EMP_EXEC";"COD_UNID_ORCM_SOF_EXEC";"TXT_ORG_EMP_EXECT";"TXT_UNID_ORCM_EXECT";"COD_CATG_ECMC";"COD_GRUP_DESP";"COD_MODL_APLC";"COD_ELEM_DESP";"COD_SUB_ELEM_CONTA_DESP";"COD_FCAO_GOVR";"TXT_FCAO_GOVR";"COD_SUB_FCAO_GOVR";"TXT_SUB_FCAO_GOVR";"COD_PGM_GOVR";"TXT_PGM_GOVR";"COD_PROJ_ATVD_SOF";"COD_CTA_DESP";"COD_FONT_REC"
"26/03/2026 00:00:00";"26799";"2026";"22.10.17.512.4014.5.013.44905100.00.1.500.0003.0";"6022.2025/0003276-4";"Contrato 070/SIURB/2025 - Contenção de encosta na Av. Francisco Morato.";"1523654,95";"0";"0";"1523654,95";"0";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"4";"4";"90";"51";"00";"17";"Saneamento";"512";"Saneamento Básico Urbano";"4014";"Gestão de Riscos e Resiliência a Desastres e Eventos Críticos";"5013";"44905100";"00.1.500.0003"
"26/03/2026 00:00:00";"26801";"2026";"22.10.17.512.4014.5.013.44905100.00.1.500.9001.1";"6022.2025/0003276-4";"Contrato 070/SIURB/2025 - Contenção de encosta na Av. Francisco Morato.";"1855796,56";"0";"0";"1855796,56";"0";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"4";"4";"90";"51";"00";"17";"Saneamento";"512";"Saneamento Básico Urbano";"4014";"Gestão de Riscos e Resiliência a Desastres e Eventos Críticos";"5013";"44905100";"00.1.500.9001"
"26/03/2026 00:00:00";"26810";"2026";"22.10.17.512.4014.5.013.44905100.00.1.500.0003.0";"6022.2024/0002539-1";"Contrato n.º 183/SIURB/24: Canalização no Córrego Caguaçú, Parque Colonial - São Mateus.";"3100000";"0";"0";"3100000";"0";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"4";"4";"90";"51";"00";"17";"Saneamento";"512";"Saneamento Básico Urbano";"4014";"Gestão de Riscos e Resiliência a Desastres e Eventos Críticos";"5013";"44905100";"00.1.500.0003"
"26/03/2026 00:00:00";"26818";"2026";"86.22.17.512.4014.5.013.44905100.08.1.759.0709.0";"6022.2024/0005018-3";"Contrato n.º 185/SIURB/2024 - Implantação de galerias de desvio do reservatório de contenção de cheias dos córregos Paraguai e Éguas - Vila Mariana.";"0";"2000000";"0";"2000000";"0";"86";"22";"Fundo Municipal de Saneamento Ambiental e Infraestrutura";"FMSAI - Secretaria Municipal de Infraestrutura Urbana e Obras";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"4";"4";"90";"51";"00";"17";"Saneamento";"512";"Saneamento Básico Urbano";"4014";"Gestão de Riscos e Resiliência a Desastres e Eventos Críticos";"5013";"44905100";"08.1.759.0709"
"26/03/2026 00:00:00";"26831";"2026";"86.22.17.512.4014.5.013.44905100.08.1.759.0709.0";"6022.2023/0007382-3";"Contrato n.º 071/SIURB/24 - Obras de canalização, reforço no sistema de drenagem e serviços complementares em córrego na Rua Maria Augusta da Silva - Subprefeitura M'boi Mirim.";"0";"1000000";"0";"1000000";"0";"86";"22";"Fundo Municipal de Saneamento Ambiental e Infraestrutura";"FMSAI - Secretaria Municipal de Infraestrutura Urbana e Obras";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"4";"4";"90";"51";"00";"17";"Saneamento";"512";"Saneamento Básico Urbano";"4014";"Gestão de Riscos e Resiliência a Desastres e Eventos Críticos";"5013";"44905100";"08.1.759.0709"
"26/03/2026 00:00:00";"26850";"2026";"22.10.17.512.4014.5.013.44905100.00.1.500.0003.0";"6022.2025/0003610-7";"Contrato 069/SIURB/2025 - Contenção de encosta em dois trechos da Avenida Jacú Pêssego";"4708343,54";"0";"0";"4708343,54";"0";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"4";"4";"90";"51";"00";"17";"Saneamento";"512";"Saneamento Básico Urbano";"4014";"Gestão de Riscos e Resiliência a Desastres e Eventos Críticos";"5013";"44905100";"00.1.500.0003"
"26/03/2026 00:00:00";"26924";"2026";"22.10.15.451.4007.5.100.44903900.00.1.500.9001.0";"6022.2023/0005974-0";"Contrato nº 018/SIURB/24 - Prestação de Serviços Técnicos Especializados para Elaboração dos Anteprojetos e Demais Elementos Necessários para Licitação por RDCI - Requalificação da Avenida dos Bandeirantes e da Avenida Engenheiro Luis Carlos Berrini até a Saída da Avenida Doutor Ricardo Jafet.";"276354,43";"0";"0";"0";"276354,43";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"4";"4";"90";"39";"00";"15";"Urbanismo";"451";"Infra-Estrutura Urbana";"4007";"Políticas de Mobilidade Urbana";"5100";"44903900";"00.1.500.9001"
"27/03/2026 00:00:00";"26977";"2026";"22.10.15.451.4007.5.187.44905100.00.1.500.0003.0";"6022.2023/0001007-4";"Contrato n° 040/SIURB/2023 - Prestação de serviços para gerenciamento do programa de manutenção de OAEs.";"7473320,38";"0";"0";"0";"7473320,38";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"22";"10";"Secretaria Municipal de Infraestrutura Urbana e Obras";"Gabinete do Secretário";"4";"4";"90";"51";"00";"15";"Urbanismo";"451";"Infra-Estrutura Urbana";"4007";"Políticas de Mobilidade Urbana";"5187";"44905100";"00.1.500.0003"
