"COD_IDT_COTC";"COD_COTC";"ANO_COTC";"COD_ORG_EMP";"TXT_ORG_EMP";"COD_UNID_ORCM_SOF";"TXT_UNID_ORCM";"COD_TIP_COTC";"TXT_TIP_COTC";"COD_FNDT_LEGA_DESP";"TXT_RESU_FNDT_LEGA";"COD_MODL_LICI_SOF";"TXT_MODL_LICI";"DT_INIC_VIG";"DT_FIM_VIG";"DT_FIM_VIG_ATU";"VAL_EPH_INFM_PRIN";"VAL_EPH_INFM_REAJ";"QTD_DIA_PRZO_ATUL";"VAL_TOT_MNTT_PRIN";"VAL_TOT_MNTT_REAJ";"VAL_TOT_EPH_PRIN";"VAL_TOT_EPH_REAJ";"COD_SITU_COTC_ATU";"COD_COND_PGTO";"TXT_COND_PGTO";"ANO_ATA_REG_PCO";"COD_ATA_REG_PCO";"RP_COD_ORG_EMP";"RP_TXT_ORG_EMP";"RP_COD_EMP_ORG_EXTR";"RP_TXT_EMP_ORG_EXTR";"COD_IND_REAJ_SOF";"TXT_IND_REAJ_SOF";"COD_ORGN_COTC";"NOM_PPST_COTT";"DT_ENVI_PPTA_COTC";"DT_ASSI_DPCH";"DT_PUBL_DPCH";"COD_NRO_PAG_DPCH";"DT_ASSI_COTC";"DT_PUBL_COTC";"COD_NRO_PAG_COTC";"COD_NRO_EDIT_COTC";"COD_NRO_PCSS_SOF";"COD_TIP_DOC";"COD_GSTR_COTC";"NOM_GSTR_COTC";"TXT_DOC_DESG_GSTR";"TXT_OBJE_COTC";"TXT_REAJ_OTRO";"COD_ORG_EMP_ATUAL";"TXT_ORG_EMP_ATUAL";"COD_UNID_ORCM_SOF_ATUAL";"TXT_UNID_ORCM_ATUAL";"VAL_PRIN_ACRE";"VAL_REAJ_ACRE";"QTD_DIA_PRZO_COTR";"VL_TOTAL_ADITAMENTO";"VL_TOTAL_REAJUSTES";"VL_TOTAL_ATUALIZADO";"VL_ATUAL_CONTR_GERAL";"VL_EMPENHADOS_ANTES_GERAL";"VL_EMPENHADOS_APOS_GERAL";"VL_ANULACOES_GERAL";"VL_SALDO_EMPENHAR_GERAL";"VL_SALDO_LIQUIDAR_GERAL";"VL_SALDO_PAGAR_GERAL";"VL_PAGOS_GERAL";"VL_EMPENHOS_CANCELADOS_GERAL";"VL_ATUAL_CONTR_PRINC";"VL_EMPENHADOS_ANTES_PRINC";"VL_EMPENHADOS_APOS_PRINC";"VL_ANULACOES_PRINC";"VL_SALDO_EMPENHAR_PRINC";"VL_SALDO_LIQUIDAR_PRINC";"VL_SALDO_PAGAR_PRINC";"VL_PAGOS_PRINC";"VL_EMPENHOS_CANCELADOS_PRINC";"VL_ATUAL_CONTR_REAJ";"VL_EMPENHADOS_ANTES_REAJ";"VL_EMPENHADOS_APOS_REAJ";"VL_ANULACOES_REAJ";"VL_SALDO_EMPENHAR_REAJ";"VL_SALDO_LIQUIDAR_REAJ";"VL_SALDO_PAGAR_REAJ";"VL_PAGOS_REAJ";"VL_EMPENHOS_CANCELADOS_REAJ";"PERC_ADIT_ACRESC_PATAMAR";"PERC_ADIT_SUPR_PATAMAR";"PERC_ADIT_ACRESC_OBJETO";"PERC_ADIT_SUPR_OBJETO";"QT_PRAZO_ATUAL_ACRESCIMO_OBJ";"QT_PRAZO_ATUAL_SUPRESSAO_OBJ";"QT_PRAZO_ATUAL_ACRESCIMO_PAT";"QT_PRAZO_ATUAL_SUPRESSAO_PAT";"QT_PRAZO_ATUAL_ACRESCIMO_PRO";"QT_PRAZO_ATUAL_SUPRESSAO_PRO";"DOTACAO";"COD_SUB_ELEM_DESP";"DESC_SUB_ELEMENTO";"COD_ITEM_DESP_SOF";"DESC_ITEM_DESP";"COD_ELEM_DESP";"DESC_ELEMENTO";"VL_SALDO_EMPENHAR_TOTAL"
"392302";"22054";"2020";"22";"Secretaria Municipal de Infra-Estrutura Urbana e Obras";"10";"Gabinete do Secretário";"30";"Nota de Empenho para Fornecimento de Serviços";"36";"Art. 25 - Inciso I Lei Federal  8.666/93";"7";"Inexigibilidade";"01/01/2017 00:00:00";"01/01/2018 00:00:00";"01/01/2018 00:00:00";"0";"0";"365";"768";"0";"768";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"";"";"17/11/2016 00:00:00";"19/11/2016 00:00:00";"78";"";"";"";"";"6022201600002869";"S";"822901";"Vannessa dos Santos Solaira";"Diretora";"Renovação da assinatura Revista Construção Mercado.";"";"22";"Secretaria Municipal de Infra-Estrutura Urbana e Obras";"10";"Gabinete do Secretário";"768";"0";"365";"0";"0";"768";"768";"0";"768";"0";"0";"0";"768";"768";"0";"768";"0";"768";"0";"0";"0";"768";"768";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.15.122.3024.2.100.33909200.00.0";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"02";"Outros Serviços de Terceiros - Pessoa Jurídica - Não Tributável";"92";"Despesas de Exercícios Anteriores";"0"
"375235";"7740";"2020";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"41";"Nota de Empenho de Serviços com fornecimento de materiais / peças";"8";"Art. 24 Inciso II da lei Federal 8.666/93";"6";"Dispensa de Licitação";"08/05/2020 00:00:00";"01/06/2020 00:00:00";"01/06/2020 00:00:00";"0";"0";"25";"4790";"0";"4790";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"";"";"04/05/2020 00:00:00";"05/05/2020 00:00:00";"21";"";"";"";"";"6022202000010257";"S";"";"";"";"recarga e manutenção de 31 Extintores tipo Gás Carbônico (CO²) 6 kg, 77 Extintores tipo Água Pressurizada 10 lts, 7 Extintores tipo Pó Químico 6 kg, 45 Extintores tipo Pó Químico 8 kg, 19 Extintores tipo Pó Químico 4kg, 29 Testes Pneumático nas Mangueiras de Incêndio e 05 Testes Hidrostático (Padrão) em extintores de incêndio (Cilindro) tipo CO² / Água Pressurizada/ Pó Químico";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"4790";"0";"25";"0";"0";"4790";"4790";"0";"4790";"0";"0";"0";"4790";"4790";"0";"4790";"0";"4790";"0";"0";"0";"4790";"4790";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.15.122.3024.2.100.33903900.00.0";"17";"Manut. e Conserv. de Máquinas e Equipamentos";"99";"Outras Máquinas e Equipamentos";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
"393381";"23062";"2020";"98";"Fundo de Desenvolvimento Urbano";"22";"FUNDURB - Secretaria Municipal de Infraestrutura Urbana e Obras";"2";"Termo de Contrato - Serviços";"2";"Art. 22 - Inciso II Lei Federal  8.666/93";"3";"Tomada de Preços";"03/05/2021 00:00:00";"01/07/2021 00:00:00";"01/07/2021 00:00:00";"0";"0";"59";"242228,95";"0";"242228,95";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"";"";"09/11/2020 00:00:00";"10/11/2020 00:00:00";"99";"";"";"";"";"7910202000005679";"S";"";"";"";"Prestação de serviços para a substituição de juntas de dilatação no Complexo Viário Aurélio Batista Félix.";"";"98";"Fundo de Desenvolvimento Urbano";"22";"FUNDURB - Secretaria Municipal de Infraestrutura Urbana e Obras";"213016,29";"0";"59";"30646,72";"0";"243663,01";"243663,01";"0";"242228,95";"1434,06";"0";"0";"242228,95";"242228,95";"107942,21";"243663,01";"0";"242228,95";"1434,06";"0";"0";"242228,95";"242228,95";"107942,21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14,39";"0";"0";"0";"0";"0";"0";"0";"98.22.15.451.3009.5.187.44905100.08.0";"89";"Obras em Andamento - Uso Comum do Povo";"15";"Pontes, Pontilhões e Viadutos";"51";"Obras e Instalações";"0"
"375693";"8004";"2020";"98";"Fundo de Desenvolvimento Urbano";"22";"FUNDURB - Secretaria Municipal de Infraestrutura Urbana e Obras";"2";"Termo de Contrato - Serviços";"10";"Art. 24 Inciso IV da lei Federal 8.666/93";"6";"Dispensa de Licitação";"05/03/2020 00:00:00";"01/09/2020 00:00:00";"01/09/2020 00:00:00";"0";"0";"180";"198709,42";"0";"198709,42";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"";"";"11/03/2020 00:00:00";"12/03/2020 00:00:00";"30";"";"";"";"";"7910202000002130";"S";"";"";"";"Intervenção imediata em caráter emergencial para recuperação da viga de sustentação na saída da Rua da Consolação para a Radial leste, sob a Praça Roosevelt em São Paulo";"";"98";"Fundo de Desenvolvimento Urbano";"22";"FUNDURB - Secretaria Municipal de Infraestrutura Urbana e Obras";"205858,57";"0";"180";"0";"0";"205858,57";"205858,57";"0";"198709,42";"7149,15";"0";"0";"198709,42";"198709,42";"6522,40";"205858,57";"0";"198709,42";"7149,15";"0";"0";"198709,42";"198709,42";"6522,40";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"98.22.15.451.3009.5.187.44905100.08.0";"89";"Obras em Andamento - Uso Comum do Povo";"15";"Pontes, Pontilhões e Viadutos";"51";"Obras e Instalações";"0"
"375496";"7879";"2020";"98";"Fundo de Desenvolvimento Urbano";"22";"FUNDURB - Secretaria Municipal de Infraestrutura Urbana e Obras";"30";"Nota de Empenho para Fornecimento de Serviços";"39";"Não Aplicável";"8";"Não Aplicável";"04/05/2020 00:00:00";"01/09/2020 00:00:00";"01/09/2020 00:00:00";"0";"0";"120";"0";"0";"0";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"";"";"06/05/2020 00:00:00";"08/05/2020 00:00:00";"20";"";"";"";"";"7910202000003048";"S";"x435639";"Alexandra Miranda";"069731676";"Execução do remanejamento provisório de rede aérea da Av. Raimundo Pereira de Magalhães, entre Marginal Tiete e Rua Campos Vergueiro, serviço necessário para prosseguimento das obras de Ligação Viária Pirituba Lapa, de acordo com Nota Técnica (027740862),";"";"98";"Fundo de Desenvolvimento Urbano";"22";"FUNDURB - Secretaria Municipal de Infraestrutura Urbana e Obras";"198477,50";"0";"120";"0";"0";"198477,50";"198477,50";"0";"0";"198477,50";"0";"0";"0";"0";"198477,50";"198477,50";"0";"0";"198477,50";"0";"0";"0";"0";"198477,50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"98.22.15.451.3009.5.100.44905100.08.0";"99";"Outras Obras e Instalações";"04";"Remanejamento de Interferências";"51";"Obras e Instalações";"0"
"378477";"10027";"2020";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"10";"Art. 24 Inciso IV da lei Federal 8.666/93";"6";"Dispensa de Licitação";"04/04/2020 00:00:00";"01/10/2020 00:00:00";"01/10/2020 00:00:00";"0";"0";"180";"274109,59";"0";"274109,59";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"";"";"06/04/2020 00:00:00";"07/04/2020 00:00:00";"25";"";"";"";"DL";"6022202000009020";"S";"";"";"";"Obras complementares no Banco de Alimentos Vila Maria, Rua Sobral Junior, nº 264 - Vila Maria - Pandemia COVID-19  Emergência e Calamidade Pública - Abastecimento CRESAN Vila Maria - Programa Banco de Alimentos";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"283888,24";"0";"180";"0";"0";"283888,24";"283888,24";"0";"274109,59";"9778,65";"0";"0";"274109,59";"274109,59";"9778,65";"283888,24";"0";"274109,59";"9778,65";"0";"0";"274109,59";"274109,59";"9778,65";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30.10.08.605.3016.9.068.44903900.00.0";"16";"Manutenção e Conservação de Bens Imóveis";"17";"Manutenção e Reformas de Bens Imóveis";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
"387695";"18015";"2020";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"5";"Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente";"39";"Não Aplicável";"8";"Não Aplicável";"21/09/2020 00:00:00";"01/10/2020 00:00:00";"01/10/2020 00:00:00";"0";"0";"10";"49439,80";"0";"0";"0";"R";"1";"";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"";"";"18/09/2020 00:00:00";"19/09/2020 00:00:00";"57";"";"";"";"";"6021202000298255";"S";"";"";"";"Desapropriação - Melhoramento - Boulevard Santo Amaro - Trecho 2A.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"49439,80";"0";"10";"0";"0";"49439,80";"49439,80";"0";"0";"0";"49439,80";"0";"0";"0";"0";"49439,80";"0";"0";"0";"49439,80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"49439,80"
"384575";"15304";"2020";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"3";"Art. 22 - Inciso III Lei Federal  8.666/93";"2";"Convite";"02/09/2020 00:00:00";"01/11/2020 00:00:00";"01/11/2020 00:00:00";"0";"0";"60";"24994,48";"0";"24994,48";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"";"";"12/08/2020 00:00:00";"13/08/2020 00:00:00";"83";"";"";"";"005/20";"6022201900018566";"S";"";"";"";"CONTRATAÇÃO DE SERVIÇOS TÉCNICO-PROFISSIONAIS DE DESENVOLVIMENTO DE PROJETO EXECUTIVO DE ARQUITETURA, FUNDAÇÃO E ESTRUTURA METÁLICA PARA CONSTRUÇÃO DE RAMPAS AUXILIARES PARA O HOSPITAL MUNICIPAL MATERNIDADE DR. MÁRIO DE MORAES ALTENFELDER SILVA, SITUADO NA  AV DEP. EMILIO CARLOS, 3100 - V.N. CACHOEIRINHA PR/CV.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"24994,48";"0";"60";"0";"0";"24994,48";"24994,48";"0";"24994,48";"0";"0";"0";"24994,48";"24994,48";"0";"24994,48";"0";"24994,48";"0";"0";"0";"24994,48";"24994,48";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"84.10.10.302.3003.2.507.33903900.02.0";"05";"Serviços Técnicos Profissionais";"15";"Arquitetura";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
"369569";"3695";"2020";"98";"Fundo de Desenvolvimento Urbano";"22";"FUNDURB - Secretaria Municipal de Infraestrutura Urbana e Obras";"2";"Termo de Contrato - Serviços";"1";"Art. 22 - Inciso I Lei Federal  8.666/93";"4";"Concorrência";"10/02/2020 00:00:00";"01/11/2021 00:00:00";"01/11/2021 00:00:00";"0";"0";"630";"0";"0";"0";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"26";"CONSULTORIA";"";"";"";"24/01/2020 00:00:00";"25/01/2020 00:00:00";"44";"";"";"";"";"7910201900007572";"S";"";"";"";"Gerenciamento - Requalificação urbana da área dos calçadões do Triângulo Histórico na Região Central de São Paulo";"";"98";"Fundo de Desenvolvimento Urbano";"22";"FUNDURB - Secretaria Municipal de Infraestrutura Urbana e Obras";"229023,53";"0";"630";"0";"0";"229023,53";"229023,53";"0";"0";"229023,53";"0";"0";"0";"0";"0";"229023,53";"0";"0";"229023,53";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"0"
"379242";"10637";"2020";"86";"Fundo Municipal de Saneamento Ambiental e Infraestrutura";"22";"FMSAI - Secretaria Municipal de Infraestrutura Urbana e Obras";"2";"Termo de Contrato - Serviços";"10";"Art. 24 Inciso IV da lei Federal 8.666/93";"6";"Dispensa de Licitação";"06/07/2020 00:00:00";"02/01/2021 00:00:00";"02/01/2021 00:00:00";"0";"0";"180";"5403327,43";"0";"5403327,43";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"";"";"";"16/06/2020 00:00:00";"17/06/2020 00:00:00";"19";"";"";"";"";"6022202000013876";"S";"";"";"";"Serviços técnicos profissionais especializados de engenharia consultiva em gerenciamento - Lote 1";"";"86";"Fundo Municipal de Saneamento Ambiental e Infraestrutura";"22";"FMSAI - Secretaria Municipal de Infraestrutura Urbana e Obras";"5499923,18";"0";"180";"0";"0";"5499923,18";"5499923,18";"0";"5403327,43";"96595,75";"0";"0";"5403327,43";"5403327,43";"1746572,71";"5499923,18";"0";"5403327,43";"96595,75";"0";"0";"5403327,43";"5403327,43";"1746572,71";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"86.22.17.451.3005.5.013.44903900.03.0";"05";"Serviços Técnicos Profissionais";"01";"Gerenciamento";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
